M-id,C-id,Local_lat,Local_long,Region,Division,Subregion,Area/Kingdom,Culture,Culture_loc,M_cid,Audio_notes,Duration,Audio_file,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Lyrics,Living_metadata,Recorded_by,Year,Publisher,Publcation_collection,Repository,Classification_notes,Audio_file_Pending,Metadata_notes,Source_Notes,Source Tag
0011,2501,-13.53,-71.96,South America,N W South America,C Andes,Cuzco Dept,S Peruvian Quechua,"Cusco, Peru",24091,,,NULL,T1735 .18,Panti Lorio Florcito,Carnaval Music,"Music from Carnaval 1964, Carnaval music changes every year",Three men,3 Male Voices,,,John Cohen; Penny Cohen,1964,Previously Unpublished,John Cohen Recordings,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@JCR1964PantiLorioFlorcito
0012,2502,-13.53,-71.96,South America,N W South America,C Andes,Cuzco Dept,S Peruvian Quechua,"Cusco, Peru",24091,,,NULL,T1735 .16,Piñi,,Lyrics: Why have you come from the banks of the sea?,"Two men, flute",2 Male Voices; Flute,,,John Cohen; Penny Cohen,1964,Previously Unpublished,John Cohen Recordings,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@JCR1964Piñi
0013,2503,-13.53,-71.96,South America,N W South America,C Andes,Cuzco Dept,S Peruvian Quechua,"Cusco, Peru",24091,,,NULL,T1735 .15,Kios,Animal Song,Lyrics: Kios is small bird with wings but no tail,"Two men, flute",2 Male Voices; Flute,,,John Cohen; Penny Cohen,1964,Previously Unpublished,John Cohen Recordings,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@JCR1964Kios
0014,2494,-13.53,-71.96,South America,N W South America,C Andes,Cuzco Dept,S Peruvian Quechua,"Cusco, Peru",24091,,,NULL,T1735.28,Burial Song,Funeral Song; Burial Song,Song for interring an adult person,Female solo,Female Voice,,,John Cohen; Penny Cohen,1964,Previously Unpublished,John Cohen Recordings,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@JCR1964BurialSong
0015,2496,-13.28,-71.2,South America,N W South America,C Andes,Cuzco Dept,Q'ero,"Q'eros, Peru",62301,,0:00:45,T5488R09,"1A40.II,5C; T1735.26",Love Song,Love Song,"Love Song, To the Palmtree, give me shade/ for my love to grow/ may the other tree cry for me, that my love might grow","Louisa Sera, male voice",Female Voice; Male Voice,,,John Cohen,1964,Smithsonian Folkways,"Mountain Music of Peru. Ethnic Folkways Library FE4539, 1966","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,This record is a two LP set.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=28669,@FW1966MountainMusicOfPeruI
0016,2495,-13.28,-71.2,South America,N W South America,C Andes,Cuzco Dept,Q'ero,"Q'eros, Peru",62301,,0:00:51,T5488R08,"1A40.II,5D; T1735.27",Lullaby,Lullaby,"Lullaby, chi chi chi wawa (baby), that you might learn to work the potatoes, young one",Female solo,Female Voice,,,John Cohen,1964,Smithsonian Folkways,"Mountain Music of Peru. Ethnic Folkways Library FE4539, 1966","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,This record is a two LP set.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=28670,@FW1966MountainMusicOfPeruI
0017,772,-2.11,-78.35,South America,N W South America,W Amazon Basin,Peruvian Amazon,Jivaro,"Andean Slopes, Southeast of Sangay National Park, Eastern Ecuador",17667,,0:01:20,T5402R42,1A5.B5,Chant du prêtre,Shaman Song; Mystical Song,"Shaman's mystical song, with glottal quaver",Male solo,Male Voice,,,Philippe Luzuy,1955,Vogue Contrepoint,"Jivaro. Musée de l'Homme MC20.161, 1954","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@VC1960EquateurJivaroCayapaOtavalo
0018,767,-2.11,-78.35,South America,N W South America,W Amazon Basin,Peruvian Amazon,Jivaro,"Andean Slopes, Southeast of Sangay National Park, Eastern Ecuador",17667,,0:01:02,T5402R37,1A5.A5,Chanson pour boire la Chicha,Drinking Song; Manioc Song; Corn Song,"Song for chicha, alcoholic drink made with manioc or maize",Male solo,Male Voice,,,Philippe Luzuy,1955,Vogue Contrepoint,"Jivaro. Musée de l'Homme MC20.161, 1954","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@VC1960EquateurJivaroCayapaOtavalo
0019,,-2.11,-78.35,South America,N W South America,W Amazon Basin,Peruvian Amazon,Jivaro,"Andean Slopes, Southeast of Sangay National Park, Eastern Ecuador",17667,,0:02:58,,1A5.B4,Chant sur la guerre,,,Male solo,Male Voice,,,Philippe Luzuy,1955,Vogue Contrepoint,"Jivaro. Musée de l'Homme MC20.161, 1955","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@VC1960EquateurJivaroCayapaOtavalo
0020,771,-2.11,-78.35,South America,N W South America,W Amazon Basin,Peruvian Amazon,Jivaro,"Andean Slopes, Southeast of Sangay National Park, Eastern Ecuador",17667,,0:00:45,T5402R41,1A5.A9,Chant sur trois rivières,Love Song,"The Three Rivers, Love song",Male solo,Male Voice,,,Philippe Luzuy,1955,Vogue Contrepoint,"Jivaro. Musée de l'Homme MC20.161, 1954","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@VC1960EquateurJivaroCayapaOtavalo
0021,770,-2.11,-78.35,South America,N W South America,W Amazon Basin,Peruvian Amazon,Jivaro,"Andean Slopes, Southeast of Sangay National Park, Eastern Ecuador",17667,,0:01:10,T5402R40,1A5.A8,Chant sur l'oiseau toucan,Love Song,"Toucan's Song, Love song",Male solo,Male Voice,,,Philippe Luzuy,1955,Vogue Contrepoint,"Jivaro. Musée de l'Homme MC20.161, 1954","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@VC1960EquateurJivaroCayapaOtavalo
0022,769,-2.11,-78.35,South America,N W South America,W Amazon Basin,Peruvian Amazon,Jivaro,"Andean Slopes, Southeast of Sangay National Park, Eastern Ecuador",17667,,0:00:49,T5402R39,1A5.A7,Chant d'amour,Love Song,Love song,Female solo,Female Voice,,,Philippe Luzuy,1955,Vogue Contrepoint,"Jivaro. Musée de l'Homme MC20.161, 1954","Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@VC1960EquateurJivaroCayapaOtavalo
0023,135,-12.27,-53.47,South America,C South America,E Amazon Basin,Mato Grosso,Kamayurá,"Lake Ipavú Near Kuluene River, Upper Xingu, Brazil",13102,,0:00:59,T5403R12,1A16.A3; WFS3.18,Social Music,Social Song,Social music,"Male chorus, sticks",Male Voices; Sticks,,,"Edward M. Weyer, Jr.",1952,Smithsonian Folkways,"Music from Mato Grosso, Brazil. Ethnic Folkways Library 4446, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Notes by Harry Tschopik, Jr., American Museum of Natural History; http://www.folkways.si.edu/camayura-social-music-2/american-indian-latin-world/music/track/smithsonian",@FW1954MusicFromMatoGrosso
0024,1369,-12.27,-53.47,South America,C South America,E Amazon Basin,Mato Grosso,Kamayurá,"Lake Ipavú Near Kuluene River, Upper Xingu, Brazil",13102,,0:00:56,T5403R14,1A16.A5,Social Music,Social Song,Social music,"Male chorus, rattles",Male Voices; Rattles,,,"Edward M. Weyer, Jr.",1952,Smithsonian Folkways,"Music from Mato Grosso, Brazil. Ethnic Folkways Library 4446, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Notes by Harry Tschopik, Jr., American Museum of Natural History; http://www.folkways.si.edu/TrackDetails.aspx?itemid=14587",@FW1954MusicFromMatoGrosso
0025,134,-12.27,-53.47,South America,C South America,E Amazon Basin,Mato Grosso,Kamayurá,"Lake Ipavú Near Kuluene River, Upper Xingu, Brazil",13102,,0:00:59,T5403R11,1A16.A1,Social Music,Social Song,Social music,"Female leader, female chorus",Female Voice; Female Voices,,,"Edward M. Weyer, Jr.",1952,Smithsonian Folkways,"Music from Mato Grosso, Brazil. Ethnic Folkways Library 4446, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Notes by Harry Tschopik, Jr., American Museum of Natural History; http://www.folkways.si.edu/TrackDetails.aspx?itemid=7093",@FW1954MusicFromMatoGrosso
0026,132,-12.27,-53.47,South America,C South America,E Amazon Basin,Mato Grosso,Kamayurá,"Lake Ipavú Near Kuluene River, Upper Xingu, Brazil",13102,,0:00:53,T5403R10,1A16.A3A,Social Music,Social Song,Social music,Male chorus,Male Voices,,,"Edward M. Weyer, Jr.",1952,Smithsonian Folkways,"Music from Mato Grosso, Brazil. Ethnic Folkways Library 4446, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Notes by Harry Tschopik, Jr., American Museum of Natural History; http://www.folkways.si.edu/TrackDetails.aspx?itemid=14609",@FW1954MusicFromMatoGrosso
0027,136,-12.27,-53.47,South America,C South America,E Amazon Basin,Mato Grosso,Kamayurá,"Lake Ipavú Near Kuluene River, Upper Xingu, Brazil",13102,,0:01:01,T5403R13,1A16.A2,Evening Singing,Evening Song,Informal evening singing ,"Female leader, female chorus",Female Voice; Female Voices,,,"Edward M. Weyer, Jr.",1952,Smithsonian Folkways,"Music from Mato Grosso, Brazil. Ethnic Folkways Library 4446, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Notes by Harry Tschopik, Jr., American Museum of Natural History; http://www.folkways.si.edu/TrackDetails.aspx?itemid=14586",@FW1954MusicFromMatoGrosso
0028,2998,-12.68,-56.92,South America,C South America,E Amazon Basin,Mato Grosso,Kamayurá,"Mato Grosso, Brazil",13102,,0:00:51,T5403R16,T1518 .1,Women's Dance Song,Dance Song; Women's Song,Clip of strophic dance song,Female chorus,Female Voices,,,"Harry Tschopik, Jr",1953,Previously Unpublished,"Harry Tschopik, Jr. Upper Amazon Recordings","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@ALC1953UpperAmazon
0029,1924,-12.39,-53.47,South America,C South America,E Amazon Basin,Mato Grosso,Mebêngôkre,"Middle Xingu River, Brazil",22045,,0:00:44,T5403R63,1A19.B6,Juparana,,,Male solo,Male Voice,,,Harald Schultz; Vilma Chiara,1960,Previously Unpublished,Collection of Harald Schultz and Vilma Chiara,"Sao Paolo State Museum, Sao Paolo, Brazil; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Recorded at 11 cycles above normal, Seeger 2004: 142; http://www.folkways.si.edu/TrackDetails.aspx?itemid=13901",@HSVCC1960-1Juparana
0030,1927,-11.2,-53.23,South America,C South America,E Amazon Basin,Mato Grosso,Mebêngôkre,"Campo de Diauarum, Mato Grosso, Brazil",22045,,0:01:16,T5403R66,T1445.5,Tipare,,"Duet sung by two men with no women from the tribe present, only women from other tribes",Male duet,2 Male Voices,,,Harald Schultz; Vilma Chiara,1960,Previously Unpublished,Collection of Harald Schultz and Vilma Chiara,"Sao Paolo State Museum, Sao Paolo, Brazil; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Recorded at 11 cycles above normal, Seeger 2004: 142",@HSVCC1960-1Tipare
0031,1928,-11.2,-53.23,South America,C South America,E Amazon Basin,Mato Grosso,Mebêngôkre,"Campo de Diauarum, Mato Grosso, Brazil",22045,,0:01:13,T5403R67,T1445.4,Hymn Tune,Hymn,"Unison chorus, hymn tune",Male chorus,Male Voices,,,Harald Schultz; Vilma Chiara,1960,Previously Unpublished,Collection of Harald Schultz and Vilma Chiara,"Sao Paolo State Museum, Sao Paolo, Brazil; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Recorded at 11 cycles above normal, Seeger 2004: 142",@HSVCC1960-1HymnTune
0032,1926,-11.2,-53.23,South America,C South America,E Amazon Basin,Mato Grosso,Mebêngôkre,"Campo de Diauarum, Mato Grosso, Brazil",22045,,0:00:56,T5403R65,T1445.3,Yuparama,Love Song,Romantic song,Male duet,2 Male Voices,,,Harald Schultz; Vilma Chiara,1960,Previously Unpublished,Collection of Harald Schultz and Vilma Chiara,"Sao Paolo State Museum, Sao Paolo, Brazil; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Recorded at 11 cycles above normal, Seeger 2004: 142",@HSVCC1960-1Yuparama
0033,1925,-11.2,-53.23,South America,C South America,E Amazon Basin,Mato Grosso,Mebêngôkre,"Campo de Diauarum, Mato Grosso, Brazil",22045,,0:00:39,T5403R64,T1445.2,Corn Harvest Song,Harvest Song; Corn Song; Agricultural Song,,Male duet,2 Male Voices,,,Harald Schultz; Vilma Chiara,1960,Previously Unpublished,Collection of Harald Schultz and Vilma Chiara,"Sao Paolo State Museum, Sao Paolo, Brazil; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Recorded at 11 cycles above normal, Seeger 2004: 142",@HSVCC1960-1CornHarvestSong
0034,,-11.2,-53.23,South America,C South America,E Amazon Basin,Mato Grosso,Mebêngôkre,"Campo de Diauarum, Mato Grosso, Brazil",22045,,,,T1445.6?,,,,Male chorus,Male Voices,,,Harald Schultz; Vilma Chiara,1960,Previously Unpublished,Collection of Harald Schultz and Vilma Chiara,"Sao Paolo State Museum, Sao Paolo, Brazil; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,"C-id 2166 has the same source #. However, on the Minutage coding sheet this song is noted as not being coded for Cantometrics. I believe a different part of the tape was coded for Minutage and given the same source # in error, because the tape is long and the track numbers are difficult to determine.","Recorded at 11 cycles above normal, Seeger 2004: 142",
0035,1809,4.09,-67.66,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Alta Meta River, Venezuela",16193,,0:00:59,T5404R08m,T1585.1A; WFS2A.2,Tometare Way A,Women's Song,Women singing heterophonically,Female choir,Female Voices,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947TometareWayA
0036,1810,4.09,-67.66,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Alta Meta River, Venezuela",16193,,0:01:06,T5404R09,T1585.1B; WFS2A.2,Tometare Way B,Women's Song,Women singing heterophonically,Female choir,Female Voices,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947TometareWayB
0037,1805,8.74,-66.23,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Edo, Guárico, Venezuela",16193,,0:01:09,T5404R04m,T1585.2,Viajure jarba,Love Song,"Love song, sung in separated female choirs which have staggered recitals of the litany idea",Female choir,Female Voices,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947Viajurejarba
0038,1807,8.74,-66.23,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Edo, Guárico, Venezuela",16193,,0:01:09,T5404R06m,T1585.3,Testete,Healing Song; Men's Song,"Men's song, used to cure snake bites",Group of men,Male Voices,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947Testete
0039,1808,8.74,-66.23,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Edo, Guárico, Venezuela",16193,,0:00:58,T5404R07m,T1585.4,Flore Nayo ,Dance Song; Circle Dance; Women's Song,"Little Flower, women's song danced in a double circle",Female choir,Female Voices,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947FloreNayo
0040,1803,8.74,-66.23,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Edo, Guárico, Venezuela",16193,,0:00:45,T5404R02m,T1585.5,A Thinking Song,,"Thinking song, sung by solo female",Sarah Ramires,Female Voice,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947AThinkingSong
0041,1804,8.74,-66.23,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Edo, Guárico, Venezuela",16193,,0:01:07,T5404R03m,T1585.6,Dancing song,Dance Song; Men's Song,"Dance song, men's song, sung in separated choirs which have staggered recitals of the litany idea","Group of men, shaker, faint, thumb harp(?)",Male Voices; Shaker; Faint; Thumb Harp(?),,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947Dancingsong
0042,1802,8.74,-66.23,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Edo, Guárico, Venezuela",16193,Tape notes says two voices are present but only one is audible,0:00:59,T5404R01m,T1585.7,Healing Song,Healing Song,"Healing Song, sung by older woman, recorded at El Totumo Farm",Female solo,Female Voice,,,Isabel Aretz Ramon y Rivera,1949,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1949HealingSong
0043,1812,4.09,-67.66,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Alta Meta River, Venezuela",16193,,0:01:01,T5404R10m,T1585.8,Atouja naya,Women's Song; Circle Dance; Dance Song,Women's song danced in a double circle,Female choir,Female Voices,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947Atoujanaya
0044,1806,8.74,-66.23,South America,N South America,Orinoco Basin,Los Llanos,Guahibo,"Edo, Guárico, Venezuela",16193,,0:00:52,T5404R05m,T1585.9,Bonnana banague,Lament,"Song of sadness about the abduction of a little girl, sung in loose unison",Female choir,Female Voices,,,Isabel Aretz Ramon y Rivera,1947,Previously Unpublished,The Aretz Collection ,"Institute of Folklore, Caracas, Venezuela; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,,@AC1947Bonnanabanague
0045,3427,7.62,-64.88,South America,N South America,Orinoco Basin,Amazonas/ Bolivar,So’to,"Orinoco & Caura River Basin, Bolivar State, Venezuela",29030,,0:01:07,T5404R40,T1755.A1,Male Duet,,,Male duet,2 Male Voices,,,Helmuth Fuchs,1964,Previously Unpublished,"Helmuth Fuchs, Orinoco Basin Recordings","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,SAME AS ABOVE?,@ALC1964FuchsOrinocoBasin
