P_id,CultureName_Speaker1,P_cid_Speaker1,CultureName_Speaker2,P_cid_Speaker2,Identifier_LomaxTape,Type_TapeCategory,Recording_Title,Tape_Description,Source_notes,Speech_Description,Monologue/Dialogue,Duration,Lomax_notes,Speakers_Gender/Number/Age,Speakers_Names,SubjectLanguage_SIL14,SubjectLanguage_SIL15,SubjectLanguage_SIL,SubjectLanguage_Given,SubjectDialect_Given,Researcher_Language,Location_Recorded,Coverage,Date,Contributor_Interviewer,Contributor_Researcher,Researcher_Affiliation,Contributor_Depositor,Contributor_Compiler,All_Languages_On_Tape,Source_Format,Audio_notes,ResourceID,Identifier_FileName,Format_Digital,Date_Digitized,Digitized.On,Priority,Digital audio notes,Rights_Online,Contact_Information,Resource_Type,Linguistic_Type,Parla_Accession_No,Old_Parla_Accession_No,C#,C#s_on_Tape,Lomax_Cat_#,Associated_Compilation_Tapes,Metadata_notes,Coding_notes,Source Tag
15,Jivaro,17667,,,T5149,Raw audio,Jivaro from Cassette 65a,Jivaro recordings from Ecuador sent from Glen Turner of SIL Ecuador.,,2 males recounting daily activities. ,Dialogue,0:06:30,Somewhat formalized style which is characteristic of Jivaro. Good natural recording.,"2 males, age 25-35",,JIV,jiv,Shuar,Jivaro,,,,,,,Glen Turner,SIL Ecuador,SIL,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00065,TP5149R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,33346,65,65a,C-65a,901,T5039 - Nuclear America Compilation - Jivaro (Area compilation); T5013 - Dialogue Compilation - Jivaro (Work compilation).,,C65a-d used for same coding,@ALANDT5149 @ALANDT5039 @ALA1971T5013
15,Jivaro,17667,,,T5149,Raw audio,Jivaro from Cassette 65b,Jivaro recordings from Ecuador sent from Glen Turner of SIL Ecuador.,,2 males recounting daily activities. ,Dialogue,0:06:50,Somewhat formalized style which is characteristic of Jivaro. Good natural recording.,"2 males, age 25-35",,JIV,jiv,Shuar,Jivaro,,,,,,,Glen Turner,SIL Ecuador,SIL,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00066,TP5149R02,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,33346,65,65b,C-65b,901,T5039 - Nuclear America Compilation - Jivaro (Area compilation); T5013 - Dialogue Compilation - Jivaro (Work compilation).,,C65a-d used for same coding,@ALANDT5149 @ALANDT5039 @ALA1971T5013
15,Jivaro,17667,,,T5149,Raw audio,Jivaro from Cassette 65c,Jivaro recordings from Ecuador sent from Glen Turner of SIL Ecuador.,,2 males recounting daily activities. ,Dialogue,0:07:50,"Good example of formalized speech pattern. Not every Jivaro speaker is able to speak in this style, nor to understand it fully.","2 males, age 25-35",,JIV,jiv,Shuar,Jivaro,,,,,,,Glen Turner,SIL Ecuador,SIL,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00067,TP5149R03,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,33346,65,65c,C-65c,901,T5039 - Nuclear America Compilation - Jivaro (Area compilation); T5013 - Dialogue Compilation - Jivaro (Work compilation).,,C65a-d used for same coding,@ALANDT5149 @ALANDT5039 @ALA1971T5013
16,Ndyuka,14642,,,T5175,Raw audio,Djuka Dialogue,Djuka (Pidgin) recordings sent from James Park and George Huttar of SIL Suriname.,,"2 males, demonstration of greetings and basic information",Dialogue,,,"2 males, in their 30s",,DJK,djk,Aukan,Djuka,,,,"Drietabbetje, Suriname",Oct-71,,"James Park, George Huttar",SIL Suriname,SIL Suriname,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00114,TP5175R01,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,39490,77,77,C77,1018,T5018 - Dialogue Compilation - Djuka demonstration (Work compilation).,,"These two recordings are not differentiated anywhere as C77a and b, but I believe they were both used for the same coding.",@ALA1971T5175 @ALANDT5018
16,Ndyuka,14642,,,T5175,Raw audio,Djuka Monologue,Djuka (Pidgin) recordings sent from James Park and George Huttar of SIL Suriname.,,"2 males, demonstration of greetings and basic information",Monologue,,,"2 males, in their 30s",,DJK,djk,Aukan,Djuka,,,,"Drietabbetje, Suriname",Oct-71,,"James Park, George Huttar",SIL Suriname,SIL Suriname,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00115,TP5175R02,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,39490,77,77,C77,1018,T5018 - Dialogue Compilation - Djuka demonstration (Work compilation).,,"These two recordings are not differentiated anywhere as C77a and b, but I believe they were both used for the same coding.",@ALA1971T5175 @ALANDT5018
17,Wayana,23288,,,T5067,Raw dubs,Assorted Langs from the Parlametrics Collection - Wayana,"Language sample from Parlametrics tape collection, Tape II, containing dubs from Alan Lomax's tape library for use in establishing useable samples, dubbed by Alexis Kondratiev.","Dubbed from T3114 in Alan Lomax's library, American Indian recordings from Willard Baldwin",2 Selections: 1) Man with child; 2) 2 males chatting.,Dialogue,,Selection no. 2 lively and animated.,"1 male, 1 child; 2 males",,,way,Wayana,Wayana,,,,,,,"Maxwell; Monni Adams; Robert Gardner; Peter Silverwood-Cope; Jorge Preloran; Willard Baldwin; Jack Ferguson; Alan Lomax, BBC",,,Alan Lomax,"Culina, Shipibo, Sumba, Hamar, Cano, Macu, Warao, Jeronimo, Wayana, Copper Eskimo, Welsh, Scots, Gaelic","1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",Some distortion on selection no. 1. ,A00263,TP5067R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,27714,59,59,,,T5039 - Nuclear America Compilation - Wayana (Area compilation); T5010 - Dialogue Compilation - Wayana (Work compilation).,,,@ALANDT5067 @ALANDT5039 @ALA1971T5010
18,Mojeño-Ignacianos,62531,,,T5176,Raw audio,Ignaciano folk tale,Ignaciono recordings sent from Don Van Wynen of SIL Bolivia.,,"One man is telling a folk tale, there are several in the audience but one in particular is the listener.  ",Dialogue,,,2 males,,IGN,ign,Ignaciano,Ignaciono,,ENG,,,1971-10,,Don Van Wynen,SIL Bolivia,SIL Bolivia,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ",,A00116,TP5176R01,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,40002,78,78,C78,1020a,T5018 - Dialogue Compilation - Ignaciano story (Work compilation).,,"The other 2 Ignaciano recordings on T5176 seem not to have been used for the coding, based on their descriptions not matching",@ALA1971T5176 @ALANDT5018
19,So’to,29030,,,T5148,Raw dubs,Makiritare speech on departure,"Guajiro, Ojibwa, Makiritare, Noamana, and Cayapo dubs from Dr. Helmuth Fuchs tapes.",,"1 male, speech made upon departure",Monologue,,,1 male,,MCH,mch,Maquiritare,Makiritare,,SPN,,Cacuri-ña,1961-08,,,,Helmuth Fuchs,Alan Lomax,Guajiro; Ojibwa; Cayapo; Noamana; Makiritare,60 Minute Analog Cassette Tape. ,,A00313,TP5148R03,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,8390468,542,542,"C540a-C540c, C541, C542, C67, C68a-C68b",900,T5015 - Helmuth Fuchs Monologue Compilation - Makiritare (Work compilation).,Date on T-list says Oct-71,,@ALA1961T5148 @ALA1971T5015
20,Cuiva,14213,,,T5236,Raw audio,Language Sample of Cuiba,Cuiba recordings sent from the Victor Kondo of SIL Colombia.,,Short clip of Cuiba,Dialogue,,,"1 male, age 45, 1 female, age 35",,CUI,cui,Cuiba,Cuiba,,,,,,,Victor Kondo,SIL Columbia,SIL Columbia,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ",,A00210,TP5236R01,"24 bit, 96 kHz, uncompressed .wav",2005-01,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,57410,112,,,1095,,transcription available,,@ALANDT5236
21,Andros,10605,,,T5025,Work compilation,Dialogue Compilation - English (Bahamas),"English dialogues collected for Parlametrics from various sources, including Alan Lomax and A. L. Lloyd.",,2 males being interviewed by Alan Lomax. ,Dialogue,,Good natural speech between the two men in places.,"2 males, in their 60s (plus Alan Lomax)",,ENG,eng,English,English,Bahamas,ENG,"Andros, Bahamas","Andros, Bahamas",,Alan Lomax,"Alan Lomax, A. L. Lloyd",,,Alan Lomax,"English (Lexington, Alabama); English (Blanchicheusse, Trinidad); English (Andros, Bahamas); English (Black Mississippi)","1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,,,,,,,,,,Sound,Primary Text,3395,141,103,C101-C104,T19,T5025 - Dialogue Compilation - English (Bahamas) (Work compilation).,"Computer coding printout lists this coding as C141, but tape index lists it as C103.",,@ALANDT5025
22,Haiti,16446,,,,,,,,,,,,,,,hat,Haitian Creole,Haitian Creole,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,5187,148,,,,,Missing metadata and original coding sheets.,,
23,Haiti,16446,,,,,,,,,,,,,,ENG,eng,English,English,Haiti,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,5443,149,,,,,Missing metadata and original coding sheets.,,
24,Alabama Black,62423,,,T5054,Raw dubs,Interview with Ed Lewis,"Lomax Collection Tape #1, compilation tape of samples taken from Alan Lomax's tape library.","Dub from ""Interview with Ed Lewis""","Speaking about playing music. 2 men in their 70s, with Alan Lomax as the interviewer. ",Dialogue,0:01:54,"A good piece of interchange between 2 men at the beginning, more interview-type exchange toward the end.","2 males, in their 70s (plus Alan Lomax)",Ed Lewis,ENG,eng,English,English,US Negro,ENG,"Lexington, Alabama",Alabama,,Alan Lomax,Alan Lomax,,Alan Lomax,Alan Lomax,English (Black Mississippi); Tlingit (Alaska); English (Trinidad); Spanish (Trinidad); Chinese; Amawka (Peru); Hindi; Amhara (Ethiopia); Meo (Laos); Po Mo (Northern California); Irish Gaelic; Welsh; Bacup,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00002,TP5054R02,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,6979,155,101,,T867,T5025 - Dialogue Compilation - English (Alabama) (Work compilation).,"Computer coding printout lists this coding as C155, but tape index lists it as C101",,@ALANDT5054 @ALANDT5025
25,Memphis Black,30063,,,T5054,Raw dubs,Place the Blues Comes From,"Lomax Collection Tape #1, compilation tape of samples taken from Alan Lomax's tape library.","Dub from ""Place the blues comes from"" (1947 New York blues interviews, early version of ""Blues in the Mississippi Night""), ","Alan Lomax speaking with Big Bill Broonzy, Memphis Slim, and Sonny Boy Williamson about working and the blues.",Dialogue,0:04:46,,2 males,,ENG,eng,English,English,Mississippi Negro,ENG,"Manhattan, New York",Mississippi Delta,,,Alan Lomax,,Alan Lomax,Alan Lomax,English (Black Mississippi); Tlingit (Alaska); English (Trinidad); Spanish (Trinidad); Chinese; Amawka (Peru); Hindi; Amhara (Ethiopia); Meo (Laos); Po Mo (Northern California); Irish Gaelic; Welsh; Bacup,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00001,TP5054R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,7235,156,104,,V-30,T5025 - Dialogue Compilation - English (Mississippi) (Work compilation).,"Computer coding printout lists this coding as C156, but tape index lists it as C104",,@ALANDT5054 @ALANDT5025
26,Cibao,62403,,,,,,,,,,,,,,,spa,Spanish,Spanish,Dominican,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,10307,168,,,,,Missing metadata and original coding sheets.,,
27,Cibao,62403,,,,,,,,,,,,,,,spa,Spanish,Spanish,Dominican,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,10563,169,,,,,Missing metadata and original coding sheets.,,
28,Havana Folk,14191,,,,,,,,,,,,,,,spa,Spanish,Spanish,Cuba,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,11587,173,,,,,"Missing metadata and original coding sheets. There is some metadata for Cuban speakers in T-list, but not sure which matches the coding.",,
29,Wayuu,15973,,,T5148,Raw audio,Guajiro story,"Guajiro, Ojibwa, Makiritare, Noamana, and Cayapo dubs from Dr. Helmuth Fuchs tapes.",,"1 female, short story in Guajiro. ",Monologue,,Clear and animated.,1 female,,GUC,guc,Wayoo,Guajiro,,,Mogontira,Mogontira,1970-07,,Catherine Cameron,,Helmuth Fuchs,Alan Lomax,Guajiro; Ojibwa; Cayapo; Noamana; Makiritare,60 Minute Analog Cassette Tape. ,,A00317,TP5148R07,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,1860,540,540c,"C540a-C540c, C541, C542, C67, C68a-C68b",900,,Date on T-list says Oct-71,"This recording corresponds to C540c only. Not sure if this was the only recording taken account in the coding, or if 540a and b were also included.",@ALA1970T5148
30,Guna,14235,,,,,,,,,,,,,,,,,Cuna,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,57922,113,,,,,Missing metadata and original coding sheets.,,
31,Zapotec,29239,,,T5036,,Zapotec,Alan Lomax Parlametrics - 1 man and 1 woman. Zapotec,,,,,,,,,zap,Zapotec,Zapotec,,,,,,,,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00346,TP5036R10,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,II,,Permissions under negotiations,,Sound,Primary Text,40514,79,79a-d,,1028,,"This recording definitely corresponds to C79, but this T# does not match this metadata on T-list.",,@ALANDT5036
31,Zapotec,29239,,,T5182,Raw audio,Zapotec 1,Zapotec recordings sent from Gregory Truex in Mexico.,,,Dialogue,,,"1 male, 1 female",,,zap,Zapotec,Zapotec,,,,,1971-01,,Gregory Truex,SIL Mexico,SIL Mexico,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00121,TP5182R01,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,40514,79,79a-d,C79a-C79d,1028,T5019 - Dialogue Compilation - Zapotec (Work compilation).,,C79a-d used for same coding,@ALA1971T5182 @ALANDT5019
