Society_latitude,Society_longitude,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People2,People3,Arensberglomax_clusters,Focal_years,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Koppen_climate_terrain,Koppen_code,Arensberglomax_taxon,Taxon_id,Language,Language_nearsubfamily,Language_largersubfamily,Language_family,Language_familytree,ISO6393,Glottocode,Country,Country_id,society_id,C_cid,M_cid,P_cid,Ph_cid,Ch_cid,dplace_id,EA_cu_name,EA_cu# UPDATE,Murdock_cu#,EA_Prov_name,EA_Prov_#,EA_#,Culture_Wiki,Society_summary,Notes_1,Notes_2,Culture Sources
-22.15,48.03,-22.2,47.97,Africa,East Africa,Indian Ocean Islands,Madagascar S E Coastal Lowlands,Tanala,Antanala,Coastal Malagasy Peoples,,East African Peoples,Tropical Gardeners,1062; 1962,10,9,,,Tropical Rainforest,Af,AH-Savannah,scfal937,Tanala,Malagasic,Malayo-Polynesian,Austronesian,"Austronesian, Malayo-Polynesian, Basap-Greater Barito, Malagasic, Bara-Merina, Plateau Malagasy",,tana1285,Madagascar,,26522,26522,26522,,,,,TANALA,Eh3,26522,Malagasy,8,39527,wiki,"The Tanala, also known as “the people of the forest,” live in southeastern Madagascar. They observe patrilineal descent and are skilled woodsmen, hunters, and gatherers. The Tanala mainly hunt hedgehogs, lemurs, and birds and grow rice, corn, yams, and coffee. They are animists, worship the spirits found in the forest, and practice ancestral worship. Their traditional music and dance is always performed at celebrations—funerals, circumcisions, marriages, wakes.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotana1285  @WikiTanala  
8.14,32.38,6.62,34.78,Africa,East Africa,Nile Valley,S W Ethiopia/ South Sudan,Nuer,Nuäär; Nuaar,Dinka-Nuer Nilotes,,East African Peoples,African Pastoralists,1963,11,10,1,,Tropical Savannah,Aw,AH-Savannah,scfal899,Nuer,Dinka-Nuer,Western Nilotic,Nilotic,"Nilotic, Western Nilotic, Dinka-Nuer, Nuer-Reel",ISO 639-3: nus,nuer1246,Ethiopia; South Sudan,,22870,22870,22870,22870,,22870,,NUER,Aj3,22871,Northern Nilotes,37,22361,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottonuer1246 @Ethnonus @WikiNuer  
31.06,-7.92,28.33,-10.96,Africa,Northern Africa,Maghreb,S W Morocco,Shilha,Shluh,Atlas Berbers,Berbers,North African Peoples,Old Eurasia,1955; 1957; 1959-61; 1960s,11,8,,,Warm Desert,BWh,PA-Middle East,scfal1188,Tachelhit,Kabyle-Atlas Berber,Berber,Afro-Asiatic,"Afro-Asiatic, Berber, Kabyle-Atlas Berber, Atlas Berber",ISO 639-3: shi,tach1250,Morocco,,25444,25444,25444,,,25444,,SHLUH,Cd5,25444,Mountain and Coastal Berbers,48,25699,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotach1250 @Ethnoshi @WikiShilha  
16.92,7.67,19.14,4.33,Africa,Northern Africa,Maghreb/ W Sahara,Algeria/ Burkina Faso/ S W Libya/ Mali/ S Morocco/ Niger,Tuareg,Twareg; Touareg; Imuhagh; Hoggar,Tuareg Berbers,Berbers,North African Peoples,Old Eurasia,1948; 1960; 1963,13,10,,5,Warm Desert,BWh,P-Camel Nomads,scfal1049,Tuareg,Tuareg,Berber,Afro-Asiatic,"Afro-Asiatic, Berber",ISO 639-3: tmh,tuar1240,Niger,,27545,27545,27545,,27545,27545,,TUAREG AHAGGAR,Cc9,27545,Tuareg,46,39275,wiki,"The Tuareg are Berbers who live as semi-nomadic pastoralists in Adrar des Iforas, southern Algeria and Gourara, Timimoun in northern and central Algeria. Historically they once controlled the caravan trade routes across the Sahara. Their economy is based on breeding livestock, agriculture, growing mostly sugarcane and cotton, and trade. They still practice their indigenous religion, believing that most spirits are evil and cause illness. Spirits, called jinn, are believed to play tricks on people who travel the desert. Tuareg women have great freedom and participate in family and tribal decisions and do not wear veils. Their myths speak of female ancestors who founded their traditions which are expressed through traditional music, poetry, and song performed and danced by men and women. In one traditional dance, men on camels circle women who play drums and chant.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotuar1240 @Ethnotmh @WikiTuareg  
-14.64,24.95,-17.36,23.61,Africa,Southern Africa,C Southern Africa,Barotseland,Lozi,Lotse; Rotse,S C Bantu,,Southern African Peoples,Tropical Gardeners,1957,10,10,,,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal874,Lozi,Southern Bantu-Makua,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, East Bantu, Southern Bantu-Makua, Sotho-Makua-Venda, Sotho, Sesotho-Lozi",ISO 639-3: loz,lozi1239,Zambia; Zimbabwe,,20098,20098,20098,,,,,LOZI,Ab3,20098,Sotho,4,33358,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottolozi1239 @Ethnoloz @WikiLozi  
-25.33,31.35,-28.73,30.59,Africa,Southern Africa,Coastal Southern Africa,"KwaZulu-Natal Prov, South Africa",Zulu,AmaZulu,Nguni S Bantu,Nguni Peoples,Southern African Peoples,Tropical Gardeners,1957,9,10,,,"Temperate Oceanic, Humid Subtropical Oceanic Highland","Cfb, Cwb",AH-Savannah,scfal964,Zulu,Southern Bantu-Makua,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, East Bantu, Southern Bantu-Makua, Nguni, Southern Ndebele-Lowland, Zulu-Xhosa",ISO 639-3: zul,zulu1248,Mozambique; South Africa; Tanzania; Zambia; Zimbabwe,,29360,29360,29360,,,29360,,ZULU,Ab12,29360,Southeastern Bantu,3,45170,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottozulu1248 @Ethnozul @WikiZulu  
-30.44,27.91,-29.85,28.23,Africa,Southern Africa,E Southern Africa,South Africa/ Lesotho,Sotho,Basotho; Basuto,S E Bantu,,Southern African Peoples,Tropical Gardeners,1957,10,10,1,,Humid Subtropical Oceanic Highland,Cwb,AH-Savannah,scfal931,Sotho,Southern Bantu-Makua,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, East Bantu, Southern Bantu-Makua, Sotho-Tswana",,soth1252,Lesotho,,25917,25917,25917,25917,,25917,,SOTHO,Ab8,25917,Sotho,4,15717,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottosoth1252  @WikiSotho  
-21.92,18.01,-20.54,20.57,Africa,Southern Africa,W & C Southern Africa,Angola/ Botswana/ Namibia/ South Africa/ Zambia,Juǀʼhoansi,Juǀʼhoan; Dzuǀʼoasi; Zû-ǀhoa; Southeastern ǃXuun; Zhul'hoasi; Zhulhoasiǃ; Xun; Kung; iKung; Bushmen,S Savannah Hunter Gatherers/ San Khoisan,African Hunter-Gatherers,Southern African Peoples,African Gatherers,1953; 1961; 1982; 1995; 1950s,20,7,1,12,Semi Arid Steppe Hot,BSh,C-Africa,scfal1,South-Eastern Ju (also known as Juǀʼhoan),South-Eastern Ju,Ju-Kung,Kx'a,"Kx'a, Ju-Kung",ISO 639-3: ktz,juho1239,Namibia,,19262,19262,19262,19262,19262,19262,,KUNG; JU'HOANSI,Aa1,19262,Bushmen,2,15947,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottojuho1239 @Ethnoktz @Wiki!Kung  
7.15,1.66,6.89,2.28,Africa,West Africa,Benin/ Nigeria/ Togo,S Benin/ S W Nigeria/ Togo,Fon,Fon nu; Dahomey,Gbe Peoples,,West & Central African Peoples,Tropical Gardeners,1952;,12,6,,,Tropical Savannah,Aw,AH-Tropical Forest,scfal741,Fon,Gbe,Kwa Volta-Congo,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Gbe, Fongbeic",ISO 639-3: fon,fonn1241,Benin,,15390,15390,15390,,,,,DAHOMEY,Af1,15390; 14317,Slave Coast,19,7740,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottofonn1241 @Ethnofon @WikiFon  
15.25,-15.38,13.59,-13.91,Africa,West Africa,Senegambia,Gambia/ S W Mauritania/ Senegal,Wolof,Wollof; Woloff; Joloff,Wolof,N C Atlantic African Peoples,West & Central African Peoples,African Pastoralists,1951; 1955-65,10,6,1,,Warm Desert,BWh,AH-Savannah,scfal958,Wolof,Wolof-BKK,North-Central Atlantic,Atlantic-Congo,"Atlantic-Congo, North-Central Atlantic, Wolof-BKK, Wolofic",ISO 639-3: wol,nucl1347,The Gambia; Mauritania; Senegal,,28744,28744,28744,28744,,,,WOLOF,Cb2,28744,Senegambians,22,18544,wiki,"The Wolof are largely Muslim horticulturalists living in tropical grassland between the Gambia and Senegal rivers. Caste-like classes include praisers, minstrels, musicians and entertainers, géwél (griots). Wolof music was influenced by W. Africa and Muslim N. Africa. The sabar drum ensemble of tama (hourglass talking drum) and xalam, a five-stringed lute ancestral to the banjo was traditional.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottonucl1347 @Ethnowol @WikiWolof  
-14.14,133.01,-14.96,133.23,Australia,Northern Territory,Arnhem Land,Roper R Reg,Jawoyn,Djauan; Tjauen; Djouan; Djauun; Jawin; Chau-an; Tweinbol; Adowen; Djawin; Djawun; Djauwung; Charmong,Gunwinyguan Peoples,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,1,1,,,Tropical Savannah,Aw,,,Jawoyn,Jawoyn,Western Gunwinyguan,Gunwinyguan,"Arnhem, Gunwinyguan, Western Gunwinyguan",ISO 639-3: djn,djau1244,Australia,,30067,30067,30067,,,,,,,,,,,wiki,"The Jawoyn live in a remote area in the Northern Territory, home of Aboriginal rock art dating back thousands of years. Mining brought contact with Europeans in 1913. Their labor was exploited, but later a deal was negotiated with the mining company allowing mining in exchange for hiring Aboriginal workers, providing scholarships, and promoting tourism.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottodjau1244 @Ethnodjn @WikiJawoyn  
-12.34,133.34,-11.59,133.58,Australia,Northern Territory,Coastal & Island West Arnhem,Arafura Sea,Gunbalang,Gunbarlang; Kunbarlang; Warlang; Gambalang; Gunbulan; Gunbalanya,Goulburn Islanders,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,1,1,,,Tropical Savannah,Aw,,,Kunbarlang,Central Gunwinyguan,Marne,Gunwinyguan,"Arnhem, Gunwinyguan, Marne",ISO 639-3: wlg,kunb1251,Australia,,30068,30068,30068,,,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottokunb1251 @Ethnowlg @WikiGambalang  
-11.84,133.19,-11.59,133.58,Australia,Northern Territory,Coastal & Island West Arnhem,Arafura Sea,Maung,Mawung; Mawng; Gun-marung; Warruwi,Goulburn Islanders,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,3,2,,1,Tropical Savannah,Aw,,,Mawng,Mawng,Mawng,Iwaidjan Proper,"Iwaidjan, Iwaidjan Proper",ISO 639-3: mph,maun1240,Australia,,30084,30084,30084,,30084,,,,,,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomaun1240 @Ethnomph @WikiMaung  
-12.86,130.74,-13.55,130.38,Australia,Northern Territory,N Coast,Victoria Daly Reg,Wadjiginy,Amijangal; Worgite; Waggait; Wagatsch; Worgait; Wadjiginy; Wogait,Wadjiginy,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,4,5,,,Tropical Savannah,Aw,C-Australia,scfal17,Wadjiginy (language isolate),Wadjiginy (language isolate),Wadjiginy (language isolate),Wadjiginy (language isolate),Wadjiginy (language isolate),ISO 639-3: wdj,wadj1254,Australia,,11078,11078,11078,,,11078,,AUSTRALIAN; N. AUSTRALIA,,11078,,,17963,wiki,"The Wadjiginy, also historically called as the Wogait, are native Australian people of the Northern Territory. ""The term Wogaitj (also spelt Waugeit and Worgait) (from the Batjamalh word wagatj, meaning ‘beach’) generally referred to a grouping of people encompassing various language groups whose traditional country lay along the coast to the south of the Cox Peninsula, including speakers of Batjamalh, Kiyuk, Emmi/Mendhe and Marri Ammu/Marri Tjevin."" (Barwick and Marrett) The Wogait are hunter-gatherers who hunt kangaroos, wallabies, emus, bustards, and other large game along with small animals like lizards. Children are taught skills through playing games and joining adults in hunting and gathering activities.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottowadj1254 @Ethnowdj @WikiWadjiginy  @BarwickMarett2011AuralSnapshots
-14.25,129.54,-14.25,129.51,Australia,Northern Territory,N Coast,Wadeye Area,Magatige,Maritige; Muringata; Muringe; Berinken; Berinkin; Berringin; Brinken; Brinkan; Mati Ke ,Magatige,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,5,1,,3,Tropical Savannah,Aw,,,Maringarr-Matige,Maringarr-Matige,Bringen,Western Daly,"Western Daly, Bringen",,mari1418,Australia,,30074,30074,30074,,30074,,,MAGATIGE,,,,,,wiki,"The Magatige people are aboriginal Australian people. Their ancestral lands are located in the Wadeye region in the Northern Territory. ""The grouping term Brinken (Brinkin) was used to describe language groups... from the Moyle River south to the Fitzmaurice, including speakers of Magati Ge, Marri Ngarr and Murrinh-patha, amongst others."" (Barwick & Marett) The Magatige's native language is in danger of extinction. The Magatige live along a coastal strip on the north side of Port Keats in Australia near the Moyle River swamplands. The area is inundated seasonally and has an abundance of fish and bird species. ",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomari1418  @WikiMatiKe  @BarwickMarett2011AuralSnapshots
7.11,-76.86,9.58,-78.75,Central America,Central American Mainland,Colombia/ Panama,San Blas Islands,Guna,Cuna; Kuna; Dule; Tule,Kuna,Chibchan Peoples,C American Indigenous Peoples,Nuclear America,1954; 1960; 1960-61,9,8,1,,Monsoon,Am,I-Eastern,scfal352,Kuna,Eastern Isthmic Chibchan,Core Chibchan,Chibchan,"Chibchan, Core Chibchan, Isthmic Chibchan, Eastern Isthmic Chibchan",,kuna1280,Panama,,14235,14235,14235,14235,,14235,,CUNA,Sa1,14235,Panama,170,39735,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottokuna1280  @WikiKuna  
27.56,-107.15,28.35,-106.41,Central America,Mexico,N Mexico,Chihuahua,Rarámuri,Tarahumara; Raramuri,Tarahumaran Uto-Aztecan,,Mexico Indigenous Peoples,Nuclear America,1946; 1938-46,10,9,,,Semi Arid Steppe Cold,BSk,I-Desert,scfal380,Tarahumaran,Tarahumara-Guarijio,Southern Uto-Aztecan,Uto-Aztecan,"Uto-Aztecan, Tarahumara-Guarijio",,tara1321,Mexico,,26599,26599,26599,,,26599,,TARAHUMARA,Ni1,26599,Northwest Mexico,163,59239,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotara1321  @WikiRaramuri  
28.99,-112.38,29.55,-110.56,Central America,Mexico,N Mexico,Sonora,Seri,Comcaac,Seri,,Mexico Indigenous Peoples,Nuclear America,1944,10,10,,10,Warm Desert,BWh,HF-Arctic,scfal158,Seri (language isolate),Seri (language isolate),Seri (language isolate),Seri (language isolate),Isolated language,ISO 639-3: sei,seri1257,Mexico,,25246,25246,25246,,25246,25246,,SERI,Ni4,25246,Northwest Mexico,163,40546,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoseri1257 @Ethnosei @WikiSeri  
